Timestamp,State,StatName,Location,Duration
15:18:49.181,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (28),
15:21:11.138,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (28),1419.54
15:21:11.330,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (67),
15:23:02.502,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (67),1111.73
15:23:02.690,Start,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (1),
15:23:03.223,End,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (1),5.32
15:23:03.425,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (67),
15:24:53.286,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (67),1098.61
15:24:53.484,Start,AIStat_Hunger,Lunch (2),
15:25:06.218,End,AIStat_Hunger,Lunch (2),127.26
15:25:06.309,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (4),
15:26:45.562,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (4),992.54
15:26:45.761,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (4),
15:27:07.442,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (4),216.81
15:27:07.646,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,
15:27:19.591,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,119.46
15:27:19.782,Start,AIStat_Hunger,Lunch,
15:27:34.388,End,AIStat_Hunger,Lunch,146.05
15:27:34.584,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,
15:27:48.518,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,139.34
15:27:48.707,Start,AIStat_Energy,椅子-Corbu (3),
15:27:57.544,End,AIStat_Energy,椅子-Corbu (3),88.37
15:27:57.732,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,
15:28:10.910,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,131.78
15:28:11.104,Start,AIStat_Hunger,Lunch (3),
15:28:24.817,End,AIStat_Hunger,Lunch (3),137.13
15:28:25.015,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (1),
15:28:39.882,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (1),148.67
15:28:40.071,Start,AIStat_Energy,椅子-Corbu (14),
15:29:32.726,End,AIStat_Energy,椅子-Corbu (14),526.55
15:29:32.919,Start,AIStat_Hunger,Lunch (22),
15:29:46.366,End,AIStat_Hunger,Lunch (22),134.47
15:29:46.555,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,
15:30:00.881,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,143.25
15:30:01.074,Start,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef,
15:30:03.771,End,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef,26.97
15:30:03.974,Start,AIStat_Hunger,Lunch (9),
15:30:16.791,End,AIStat_Hunger,Lunch (9),128.17
15:30:16.983,Start,AIStat_Energy,椅子-Corbu (15),
15:31:10.662,End,AIStat_Energy,椅子-Corbu (15),536.80
15:31:10.853,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (2),
