Timestamp,State,StatName,Location,Duration
37:36.9,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (65),
39:12.9,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (65),960.2
39:13.2,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (9),
39:58.0,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (9),448.9
39:58.2,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (2),
40:11.2,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (2),129.89
40:11.4,Start,AIStat_Hunger,Lunch,
40:24.8,End,AIStat_Hunger,Lunch,133.56
40:25.0,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (1),
40:39.5,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (1),145.38
40:39.7,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (53),
57:21.6,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (53),10018.9
57:21.8,Start,AIStat_Energy,椅子-Corbu (16),
58:15.2,End,AIStat_Energy,椅子-Corbu (16),534.25
58:15.4,Start,AIStat_Hunger,Lunch,
58:29.0,End,AIStat_Hunger,Lunch,135.48
58:29.2,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (9),
58:43.5,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (9),143.71
58:43.7,Start,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (1),
58:45.9,End,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (1),22.2
58:46.1,Start,AIStat_Energy,椅子-Corbu (3),
58:53.6,End,AIStat_Energy,椅子-Corbu (3),74.53
